Date,Open,High,Low,Close
11/19/2019,"8,550.00","8,565.00","8,005.00","8,110.00"
11/15/2019,"9,100.00","9,135.00","8,355.00","8,505.00"
11/08/2019,"9,270.00","9,800.00","8,360.00","8,845.00"
11/01/2019,"9,700.00","10,050.00","9,000.00","9,235.00"
10/25/2019,"8,255.00","8,380.00","7,245.00","7,678.49"
10/18/2019,"8,255.00","8,440.00","7,805.00","7,960.00"
10/11/2019,"7,900.00","8,850.00","7,745.00","8,355.00"
10/04/2019,"8,090.00","8,560.00","7,710.00","8,225.00"
09/27/2019,"10,125.00","10,125.00","7,710.00","8,004.46"
09/20/2019,"10,335.00","10,450.00","9,605.00","10,180.00"
09/13/2019,"10,490.00","10,620.00","9,900.00","10,265.00"
09/06/2019,"10,450.00","11,130.00","10,230.00","10,460.00"
08/30/2019,"10,030.00","10,730.00","9,305.00","9,583.96"
08/23/2019,"10,445.00","11,015.00","9,765.00","10,460.00"
08/16/2019,"11,675.00","11,700.00","9,500.00","10,515.00"
08/09/2019,"11,070.00","12,505.00","11,070.00","11,945.00"
08/02/2019,"9,575.00","10,870.00","9,195.00","10,600.00"
07/26/2019,"10,630.00","10,720.00","9,485.00","9,763.48"
07/19/2019,"10,945.00","11,155.00","9,095.00","10,460.00"
07/12/2019,"11,630.00","13,480.00","11,045.00","11,730.00"
07/05/2019,"11,505.00","11,990.00","9,805.00","11,285.00"
06/28/2019,"10,925.00","13,915.00","10,285.00","11,763.80"
06/21/2019,"9,065.00","10,060.00","8,985.00","9,980.00"
06/14/2019,"7,675.00","8,515.00","7,515.00","8,440.00"
06/07/2019,"8,730.00","8,865.00","7,435.00","8,010.00"
05/31/2019,"8,880.00","9,125.00","8,100.00","8,414.18"
05/24/2019,"8,075.00","8,380.00","7,485.00","8,085.00"
05/17/2019,"7,150.00","8,445.00","6,320.00","7,180.00"
05/10/2019,"5,735.00","6,430.00","5,565.00","6,365.00"
05/03/2019,"5,095.00","5,800.00","5,070.00","5,670.00"
04/26/2019,"5,275.00","5,665.00","4,940.00","5,162.34"
04/18/2019,"5,110.00","5,325.00","4,945.00","5,295.00"
04/12/2019,"5,165.00","5,480.00","4,900.00","5,065.00"
04/05/2019,"4,090.00","5,325.00","4,040.00","5,020.00"
03/29/2019,"3,965.00","4,100.00","3,845.00","4,079.36"
03/22/2019,"3,965.00","4,060.00","3,900.00","3,980.00"
03/15/2019,"3,885.00","3,915.00","3,775.00","3,900.00"
03/08/2019,"3,780.00","3,920.00","3,655.00","3,890.00"
03/01/2019,"3,770.00","3,875.00","3,620.00","3,820.00"
02/22/2019,"3,855.00","3,985.00","3,845.00","3,930.77"
02/15/2019,"3,610.00","3,650.00","3,530.00","3,565.00"
02/08/2019,"3,380.00","3,730.00","3,310.00","3,615.00"
02/01/2019,"3,485.00","3,515.00","3,300.00","3,425.00"
01/25/2019,"3,510.00","3,620.00","3,390.00","3,560.00"
01/18/2019,"3,490.00","3,700.00","3,400.00","3,585.00"
01/11/2019,"3,990.00","4,095.00","3,525.00","3,635.00"
01/04/2019,"3,800.00","3,885.00","3,600.00","3,745.00"
12/28/2018,"4,070.00","4,265.00","3,535.00","3,708.56"
12/21/2018,"3,530.00","4,150.00","3,425.00","3,775.00"
12/14/2018,"3,495.00","3,580.00","3,120.00","3,145.00"
12/07/2018,"4,090.00","4,130.00","3,135.00","3,300.00"
11/30/2018,"3,965.00","4,400.00","3,515.00","3,953.00"
11/23/2018,"5,500.00","5,515.00","4,015.00","4,190.00"
