Date,Open,High,Low,Close
11/19/2020,"16,035.00","18,540.00","15,915.00","18,095.00"
11/13/2020,"15,665.00","16,585.00","14,880.00","16,270.00"
11/06/2020,"13,955.00","16,155.00","13,370.00","15,630.00"
10/30/2020,"13,100.00","13,870.00","12,805.00","13,478.60"
10/23/2020,"11,505.00","13,285.00","11,465.00","12,970.00"
10/16/2020,"11,360.00","11,805.00","11,225.00","11,360.00"
10/09/2020,"10,700.00","11,205.00","10,565.00","11,110.00"
10/02/2020,"10,800.00","11,080.00","10,410.00","10,550.00"
09/25/2020,"10,885.00","11,005.00","10,130.00","10,606.80"
09/18/2020,"10,315.00","11,150.00","10,270.00","10,880.00"
09/11/2020,"10,205.00","10,565.00","9,850.00","10,340.00"
09/04/2020,"11,735.00","12,200.00","9,905.00","10,620.00"
08/28/2020,"11,695.00","11,865.00","11,115.00","11,449.10"
08/21/2020,"11,950.00","12,635.00","11,580.00","11,695.00"
08/14/2020,"11,800.00","12,220.00","11,190.00","11,935.00"
08/07/2020,"11,350.00","12,090.00","11,125.00","11,575.00"
07/31/2020,"9,925.00","11,540.00","9,925.00","11,207.50"
07/24/2020,"9,200.00","9,735.00","9,155.00","9,615.00"
07/17/2020,"9,290.00","9,410.00","9,040.00","9,195.00"
07/10/2020,"9,100.00","9,570.00","9,060.00","9,275.00"
07/02/2020,"9,175.00","9,390.00","8,950.00","9,060.00"
06/26/2020,"9,350.00","9,755.00","8,985.00","9,084.20"
06/19/2020,"9,370.00","9,630.00","8,930.00","9,315.00"
06/12/2020,"9,810.00","10,130.00","9,090.00","9,465.00"
06/05/2020,"9,530.00","10,565.00","9,335.00","9,800.00"
05/29/2020,"8,910.00","9,620.00","8,695.00","9,443.43"
05/22/2020,"9,795.00","10,035.00","8,815.00","9,175.00"
05/15/2020,"8,820.00","10,075.00","8,220.00","9,395.00"
05/08/2020,"8,965.00","10,220.00","8,600.00","10,030.00"
05/01/2020,"7,665.00","9,560.00","7,645.00","8,840.00"
04/24/2020,"7,200.00","7,805.00","6,765.00","7,460.86"
04/17/2020,"7,160.00","7,235.00","6,465.00","7,080.00"
04/09/2020,"6,820.00","7,515.00","6,785.00","7,290.00"
04/03/2020,"6,045.00","7,345.00","5,835.00","6,800.00"
03/27/2020,"6,060.00","6,995.00","5,685.00","6,648.36"
03/20/2020,"5,850.00","6,950.00","4,390.00","6,210.00"
03/13/2020,"8,265.00","8,280.00","4,210.00","5,330.00"
03/06/2020,"8,645.00","9,250.00","8,540.00","9,165.00"
02/28/2020,"9,935.00","10,075.00","8,430.00","8,890.00"
02/21/2020,"9,700.00","10,545.00","9,245.00","9,740.00"
02/14/2020,"10,200.00","10,670.00","9,510.00","10,495.00"
02/07/2020,"9,495.00","10,030.00","9,130.00","9,845.00"
01/31/2020,"8,595.00","9,570.00","8,575.00","9,277.63"
01/24/2020,"8,700.00","8,865.00","8,235.00","8,495.00"
01/17/2020,"8,235.00","9,085.00","8,100.00","8,925.00"
01/10/2020,"7,435.00","8,595.00","7,385.00","8,135.00"
01/03/2020,"7,445.00","7,500.00","6,860.00","7,385.00"
12/27/2019,"7,420.00","7,715.00","7,055.00","7,203.82"
12/20/2019,"7,120.00","7,440.00","6,420.00","7,230.00"
12/13/2019,"7,570.00","7,705.00","7,070.00","7,265.00"
12/06/2019,"7,465.00","7,975.00","7,085.00","7,460.00"
11/29/2019,"7,050.00","7,805.00","6,510.00","7,775.69"
11/22/2019,"8,200.00","8,275.00","6,775.00","7,330.00"
